inventory_id,date_key,product_id,facility_id,stock_level,safety_stock_level,reorder_point
1,290,5,1,4523,375,110
2,648,21,7,549,340,1096
3,733,11,4,4359,363,349
4,507,9,6,1522,667,1460
5,199,14,4,1595,355,923
6,717,22,8,1924,690,1134
7,407,17,2,2344,241,1418
8,69,20,5,1907,594,121
9,268,10,3,2752,691,1445
10,921,4,5,1478,268,900
11,969,11,2,2483,375,580
12,400,10,5,1819,285,818
13,292,22,7,4823,266,498
14,177,11,3,2416,710,982
15,336,17,2,4847,436,1259
16,289,21,8,2441,169,739
17,385,6,7,4379,207,991
18,1024,12,5,1365,333,1131
19,654,1,2,2025,559,318
20,460,16,3,1471,821,1030
21,787,17,5,2030,421,108
22,7,4,8,3853,549,537
23,177,2,2,4371,531,1306
24,18,13,2,4969,789,918
25,1091,18,8,853,504,1191
26,207,4,4,359,789,633
27,701,2,2,279,52,1149
28,694,20,6,4341,652,176
29,646,6,8,4227,839,1229
30,73,22,4,1433,462,541
31,404,15,7,1699,651,1359
32,580,17,8,2846,367,1401
33,1078,9,1,2120,997,724
34,681,14,3,1398,213,320
35,912,21,6,1228,504,642
36,975,22,7,1360,918,962
37,142,19,3,3710,421,398
38,226,13,1,2553,197,808
39,542,18,4,4898,618,634
40,378,7,2,1522,113,654
41,629,22,1,3205,830,232
42,484,6,8,3623,621,1353
43,951,11,1,4739,772,938
44,661,4,8,842,418,687
45,21,1,6,660,906,737
46,550,19,1,593,356,268
47,203,19,2,960,348,438
48,354,9,3,2019,495,143
49,190,15,5,576,447,980
50,959,2,6,1898,839,1005
51,91,19,5,3796,632,1129
52,575,16,6,3497,297,595
53,565,13,5,3519,651,1397
54,671,13,7,4523,984,606
55,262,7,4,2931,325,1445
56,747,22,2,3666,156,507
57,668,3,5,4957,718,205
58,1078,17,7,939,543,406
59,999,13,8,912,305,1193
60,1030,18,5,2028,750,894
61,1070,3,7,3095,365,619
62,784,6,2,941,837,482
63,268,19,2,2717,238,1237
64,917,7,4,3136,922,1414
65,578,14,6,4169,715,312
66,106,12,3,3421,838,1015
67,1042,2,4,3649,804,1347
68,973,13,3,4114,529,1226
69,420,16,8,2775,930,1298
70,964,3,5,520,843,1155
71,511,8,5,2802,972,1452
72,71,22,7,3557,565,127
73,844,11,2,391,821,271
74,310,14,7,4894,968,1376
75,871,18,2,3180,526,511
76,861,17,5,1040,237,349
77,496,8,7,2241,496,915
78,369,12,7,2120,966,346
79,1072,12,3,3758,903,1481
80,922,19,4,2685,669,911
81,873,7,6,4863,177,1123
82,184,9,6,3453,789,370
83,9,20,7,347,431,1476
84,1064,19,5,2791,907,789
85,817,11,4,113,391,529
86,907,12,2,4296,219,1323
87,995,13,2,4254,170,394
88,645,14,5,215,200,993
89,534,2,3,590,384,1065
90,992,1,3,1884,679,753
91,27,19,7,148,578,584
92,601,18,5,3875,753,1165
93,981,9,5,1187,913,1262
94,97,8,5,2968,607,1429
95,1087,20,8,3319,629,1249
96,451,13,7,1021,582,330
97,792,5,1,1627,866,637
98,310,15,2,3835,741,1315
99,999,19,7,2589,472,145
100,919,6,7,2692,704,1044
101,931,18,6,1517,168,181
102,33,4,4,1528,221,1074
103,867,18,7,175,212,480
104,231,19,7,2882,540,791
105,1031,9,8,800,75,433
106,368,6,4,4986,576,435
107,294,10,4,1913,745,923
108,966,19,8,713,439,642
109,307,12,5,1499,682,989
110,756,20,3,1726,684,905
111,316,6,5,1654,853,1262
112,382,6,3,392,358,846
113,297,6,8,3470,320,1234
114,936,5,4,2991,965,770
115,36,4,2,635,870,333
116,795,10,3,3555,157,611
117,801,8,1,3243,660,1166
118,16,16,7,1560,145,381
119,120,11,4,844,100,335
120,371,2,6,3575,918,1209
121,690,5,2,2595,431,316
122,650,6,6,3961,701,814
123,1007,9,6,206,622,1128
124,111,1,3,4162,412,1079
125,486,11,1,3536,68,1116
126,458,7,7,3563,256,672
127,998,2,1,929,152,760
128,829,6,6,4137,473,1343
129,814,12,4,1966,276,641
130,716,5,6,4557,731,499
131,137,2,2,4784,647,958
132,821,1,1,713,171,982
133,781,7,2,1658,569,1293
134,820,13,2,4087,700,1301
135,421,1,3,3368,231,639
136,934,13,1,1833,910,889
137,761,15,5,1565,930,749
138,9,20,7,4734,795,354
139,438,2,2,2532,991,1233
140,397,2,5,4173,456,699
141,270,6,4,3772,96,1215
142,347,10,1,1543,858,1017
143,1035,9,7,4664,75,1468
144,110,8,5,344,627,952
145,1009,9,1,3813,694,1315
146,1080,1,4,4800,135,1183
147,1014,4,4,1108,869,1170
148,277,22,3,1133,369,666
149,309,5,3,3669,100,233
150,225,16,7,240,53,1453
151,954,13,1,4809,198,1282
152,1054,7,6,839,752,124
153,579,2,8,3256,319,456
154,299,17,7,446,184,415
155,767,7,4,3175,870,1385
156,884,11,5,4915,464,246
157,253,12,5,1327,825,1435
158,695,8,2,4787,954,822
159,880,6,5,3914,496,657
160,512,22,2,4969,697,909
161,799,18,5,1114,566,1144
162,484,13,1,3306,989,141
163,869,14,5,4560,94,671
164,1044,22,5,659,833,1149
165,563,5,7,1777,880,876
166,152,19,7,882,741,650
167,1045,6,1,4793,52,1081
168,563,20,1,4616,204,1003
169,993,9,4,4041,734,1370
170,366,11,3,3739,836,905
171,656,6,7,2632,472,122
172,444,9,7,348,981,674
173,155,15,7,3459,788,878
174,1048,9,6,2179,997,1075
175,779,1,8,518,98,229
176,901,8,4,639,131,596
177,862,12,2,3222,862,880
178,633,8,4,811,142,1003
179,964,11,7,801,812,910
180,206,10,3,3151,283,1412
181,973,4,1,2256,214,574
182,581,11,1,1304,371,1494
183,291,5,5,3065,976,793
184,1026,16,4,2362,407,302
185,16,15,6,2018,887,1480
186,292,14,3,519,559,1479
187,295,16,3,3749,483,1288
188,167,8,1,2801,185,326
189,971,15,3,2631,665,135
190,647,15,3,2186,320,399
191,180,16,6,902,216,533
192,539,6,1,263,159,878
193,473,15,8,3297,85,607
194,168,7,4,4106,489,448
195,484,2,4,2549,921,1135
196,935,14,6,938,63,850
197,887,3,2,957,198,1082
198,646,9,4,954,196,439
199,452,1,4,4930,215,1104
200,845,7,6,2922,319,257
201,523,1,6,4888,771,1272
202,327,12,8,4693,649,1261
203,627,13,2,4727,858,930
204,481,8,4,2145,406,1096
205,1018,1,8,362,894,1229
206,469,16,2,4731,974,240
207,758,15,3,2440,383,186
208,931,15,7,877,226,994
209,181,20,4,4666,659,780
210,990,6,8,4217,631,409
211,274,21,6,4031,650,1145
212,778,10,4,3534,302,736
213,1019,8,2,3845,504,1383
214,354,17,7,2999,425,538
215,124,3,3,2239,507,1026
216,344,5,8,4857,557,1197
217,20,4,6,2275,189,534
218,670,17,3,4958,598,609
219,576,16,1,3887,982,1438
220,341,22,3,1322,236,346
221,507,11,2,4979,912,880
222,371,3,3,4756,867,621
223,819,19,2,2904,403,525
224,600,7,3,4866,749,1139
225,267,20,2,2179,815,1433
226,497,16,7,2067,287,1344
227,1081,14,8,2185,918,629
228,676,4,8,4943,190,518
