procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,lead_time_days,total_cost,delivery_date_key,quality_score,po_number
1,710,21,11,2148,328.64,15,705918.72,725,93.2,PO-2025-571868
2,245,15,2,1021,148.61,29,151730.81,274,86.76,PO-2025-987170
3,493,14,2,445,139.65,22,62144.25,515,95.74,PO-2023-890766
4,1001,1,14,266,273.12,15,72649.92,1016,94.3,PO-2025-112947
5,678,9,7,4938,19.73,17,97426.74,695,87.8,PO-2025-662342
6,842,22,6,2859,252.1,9,720753.9,851,92.77,PO-2023-554177
7,1050,13,8,2935,43.62,20,128024.7,1070,97.09,PO-2025-955305
8,715,16,7,4367,52.61,12,229747.87,727,87.4,PO-2025-412497
9,85,11,5,3523,30.8,27,108508.4,112,91.93,PO-2024-267978
10,271,8,1,630,288.64,23,181843.2,294,94.58,PO-2025-256756
11,967,7,10,459,322.78,7,148156.02,974,91.19,PO-2023-698561
12,379,20,9,1201,195.98,25,235371.98,404,87.86,PO-2025-638562
13,542,2,1,4140,274.39,17,1135974.6,559,97.71,PO-2024-199431
14,1029,14,1,2253,181.08,26,407973.24,1055,95.87,PO-2025-527921
15,111,4,2,1026,196.75,17,201865.5,128,86.75,PO-2024-728474
16,570,14,5,2655,18.62,24,49436.1,594,95.1,PO-2024-872462
17,936,17,6,998,349.15,23,348451.7,959,93.96,PO-2024-701562
18,470,10,7,3911,312.26,17,1221248.86,487,92.04,PO-2025-139215
19,262,11,10,3868,342.21,13,1323668.28,275,88.24,PO-2024-881605
20,848,19,5,2921,37.32,6,109011.72,854,98.33,PO-2025-413569
21,871,12,13,4768,172.82,13,824005.76,884,87.87,PO-2025-945588
22,448,19,9,2146,158.15,22,339389.9,470,94.08,PO-2025-800932
23,473,3,13,3505,287.3,7,1006986.5,480,87.6,PO-2025-765104
24,362,18,10,2686,281.79,28,756887.94,390,92.56,PO-2024-566385
25,826,5,9,2212,283.28,18,626615.36,844,93.76,PO-2023-643046
26,221,5,14,1694,165.92,10,281068.48,231,94.34,PO-2023-597347
27,961,12,7,2482,123.18,7,305732.76,968,95.8,PO-2025-363341
28,321,5,14,3977,267.72,14,1064722.44,335,94.19,PO-2024-664807
29,487,10,4,4452,11.2,28,49862.4,515,87.63,PO-2023-922014
30,854,5,1,1198,297.21,22,356057.58,876,90.82,PO-2024-841294
31,516,11,9,3198,178.91,16,572154.18,532,85.44,PO-2024-968220
