production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
1,706,22,4,4035,95,2.35,PROD-2025193914
2,904,20,2,9567,254,2.65,PROD-2024677958
3,172,15,2,9933,137,1.38,PROD-2024524455
4,930,15,8,862,22,2.55,PROD-2023501508
5,410,6,8,8376,153,1.83,PROD-2025474541
6,311,8,6,4796,106,2.21,PROD-2023427574
7,490,18,4,4046,109,2.69,PROD-2024437295
8,1068,8,4,5248,83,1.58,PROD-2024732573
9,1046,8,3,7059,188,2.66,PROD-2025521002
10,1022,22,5,1081,23,2.13,PROD-2025301954
11,1025,6,3,268,3,1.12,PROD-2025690879
12,805,11,8,6793,79,1.16,PROD-2025365852
13,1080,17,1,5479,75,1.37,PROD-2024763906
14,211,9,3,2686,45,1.68,PROD-2023597821
15,162,13,1,5937,93,1.57,PROD-2025961479
16,566,16,4,2800,44,1.57,PROD-2025877244
17,391,9,2,8634,101,1.17,PROD-2025578426
18,189,1,2,9498,152,1.6,PROD-2025375797
19,169,4,2,9783,202,2.06,PROD-2025104699
20,490,14,3,2277,65,2.85,PROD-2025496999
21,65,8,1,628,14,2.23,PROD-2023527791
22,214,1,6,2659,66,2.48,PROD-2025363659
23,466,14,3,9984,131,1.31,PROD-2025380022
24,901,10,2,9871,156,1.58,PROD-2023405952
25,717,3,2,9375,186,1.98,PROD-2023499760
26,940,3,2,3964,64,1.61,PROD-2024671085
27,730,19,6,4630,55,1.19,PROD-2024865367
28,761,1,4,8138,179,2.2,PROD-2024980826
29,841,4,2,4119,73,1.77,PROD-2025307642
30,1059,18,8,6341,101,1.59,PROD-2025246426
31,861,5,5,4148,101,2.43,PROD-2025998551
32,303,6,4,7184,166,2.31,PROD-2023341086
33,108,8,7,7841,125,1.59,PROD-2025562786
34,203,3,4,704,7,0.99,PROD-2025755146
35,207,10,2,383,10,2.61,PROD-2024915347
36,607,12,4,3520,59,1.68,PROD-2025453848
37,487,18,8,3116,56,1.8,PROD-2025501659
38,913,18,8,2581,68,2.63,PROD-2024409200
39,992,12,1,5451,130,2.38,PROD-2024711786
40,849,16,5,739,11,1.49,PROD-2023450232
41,781,4,4,6507,190,2.92,PROD-2024802733
42,695,3,5,3479,96,2.76,PROD-2024131176
43,555,9,3,8201,112,1.37,PROD-2023965239
44,863,2,3,4792,67,1.4,PROD-2025880089
45,654,12,4,3553,70,1.97,PROD-2023187623
46,61,15,4,3116,46,1.48,PROD-2025639059
47,961,19,8,4600,103,2.24,PROD-2024660944
48,320,9,4,977,16,1.64,PROD-2025371539
49,506,6,2,1544,43,2.78,PROD-2025971746
50,657,21,7,4071,65,1.6,PROD-2025558030
51,965,11,8,9459,241,2.55,PROD-2024889408
52,684,18,7,3816,98,2.57,PROD-2025354941
53,605,13,1,2167,32,1.48,PROD-2023737085
54,757,19,1,1010,27,2.67,PROD-2024216711
55,998,15,5,3618,79,2.18,PROD-2023912965
56,718,13,7,339,9,2.65,PROD-2023522559
57,977,21,3,675,18,2.67,PROD-2025671828
58,1002,3,3,6423,124,1.93,PROD-2024566245
59,40,8,5,3169,94,2.97,PROD-2024920869
60,947,19,4,4614,51,1.11,PROD-2025297413
61,548,8,7,3649,36,0.99,PROD-2025532094
62,527,21,3,3920,83,2.12,PROD-2023957086
63,555,21,3,6584,173,2.63,PROD-2024243073
64,1,21,6,3261,80,2.45,PROD-2025562503
65,950,17,1,7150,140,1.96,PROD-2024694679
66,926,15,2,4877,110,2.26,PROD-2025763902
67,553,17,8,5089,133,2.61,PROD-2025579376
68,558,4,2,1692,42,2.48,PROD-2023123319
69,499,22,1,9860,121,1.23,PROD-2023921547
70,242,1,4,4575,82,1.79,PROD-2023622063
71,63,5,2,6565,138,2.1,PROD-2025526650
72,1036,22,7,6625,152,2.29,PROD-2025810299
73,896,8,2,9786,233,2.38,PROD-2025530792
74,748,21,4,3903,104,2.66,PROD-2025950703
75,279,16,8,1228,30,2.44,PROD-2025510407
76,1072,14,5,3329,45,1.35,PROD-2023833157
77,27,11,7,8414,117,1.39,PROD-2025579527
78,441,3,3,6836,69,1.01,PROD-2024624967
79,400,21,3,5320,80,1.5,PROD-2024310685
80,649,20,2,6425,191,2.97,PROD-2025721623
81,690,19,2,1190,20,1.68,PROD-2024542189
82,1028,5,4,5596,71,1.27,PROD-2024258344
83,390,12,2,9694,265,2.73,PROD-2025210686
84,501,20,1,2630,54,2.05,PROD-2024183150
85,515,15,6,5147,101,1.96,PROD-2025529192
86,625,3,5,7106,93,1.31,PROD-2025234807
87,499,10,1,2746,72,2.62,PROD-2024610224
88,765,12,8,2644,75,2.84,PROD-2025954884
89,923,9,5,4611,85,1.84,PROD-2025198419
90,292,9,3,5543,81,1.46,PROD-2024823558
91,610,17,4,8597,101,1.17,PROD-2024367692
92,289,1,1,2188,30,1.37,PROD-2023846876
93,798,14,3,8377,247,2.95,PROD-2023885754
94,14,2,2,8578,252,2.94,PROD-2025662159
95,1004,18,5,2573,42,1.63,PROD-2025840831
96,250,2,5,2655,39,1.47,PROD-2024825695
97,425,17,1,6609,130,1.97,PROD-2024148381
98,771,3,8,2133,31,1.45,PROD-2025415980
99,118,13,1,9142,205,2.24,PROD-2024314515
100,650,10,6,2961,45,1.52,PROD-2024703862
101,480,16,5,9951,154,1.55,PROD-2023885436
102,680,3,3,1398,15,1.07,PROD-2025132532
103,15,7,7,2138,53,2.48,PROD-2025267787
104,412,8,7,3966,99,2.5,PROD-2024822607
105,13,21,6,205,2,0.98,PROD-2025665100
106,1018,2,6,3959,42,1.06,PROD-2025440104
107,526,22,3,3055,65,2.13,PROD-2024238227
108,922,19,6,6861,182,2.65,PROD-2023425510
109,258,3,6,8280,240,2.9,PROD-2025702666
110,139,18,3,2373,29,1.22,PROD-2024980775
111,126,10,8,1172,24,2.05,PROD-2024957943
112,557,21,6,6416,87,1.36,PROD-2024322070
113,651,5,8,9936,212,2.13,PROD-2024870385
114,496,10,7,6934,114,1.64,PROD-2024115179
115,364,7,4,3101,48,1.55,PROD-2024828375
116,227,18,4,6992,183,2.62,PROD-2023978916
117,7,2,4,1135,27,2.38,PROD-2023696149
118,686,20,4,9414,131,1.39,PROD-2024738460
119,1047,19,3,5810,65,1.12,PROD-2024515043
120,596,20,2,6464,106,1.64,PROD-2024661553
121,1081,19,5,3435,79,2.3,PROD-2024253937
122,216,9,8,9500,144,1.52,PROD-2023237927
123,457,16,7,2033,31,1.52,PROD-2023852376
124,549,2,1,7766,226,2.91,PROD-2023654558
125,219,11,4,1602,25,1.56,PROD-2024805018
126,85,11,6,4556,95,2.09,PROD-2023339448
127,66,14,4,803,14,1.74,PROD-2025102390
128,564,8,8,5834,129,2.21,PROD-2023661792
129,311,7,5,9311,229,2.46,PROD-2025946362
130,936,13,4,7204,208,2.89,PROD-2023917582
131,469,21,3,8903,150,1.68,PROD-2025744596
132,823,2,2,8329,158,1.9,PROD-2025575479
133,927,12,6,6709,146,2.18,PROD-2025585910
134,415,22,6,4203,84,2.0,PROD-2023517577
135,412,13,7,4835,105,2.17,PROD-2025905112
136,657,10,5,7359,164,2.23,PROD-2025954466
137,1062,4,6,6715,190,2.83,PROD-2024486199
138,767,19,4,2254,44,1.95,PROD-2023643846
139,830,13,7,6486,119,1.83,PROD-2025220208
140,288,6,4,1906,33,1.73,PROD-2024310291
141,979,15,5,774,9,1.16,PROD-2023229300
142,298,14,2,7036,127,1.81,PROD-2024711821
143,1,10,8,5989,123,2.05,PROD-2025889936
144,82,19,8,9830,244,2.48,PROD-2024919989
145,979,20,1,8999,220,2.44,PROD-2025752605
146,285,10,6,9619,154,1.6,PROD-2025636963
147,825,9,5,7028,182,2.59,PROD-2023962301
148,84,7,6,6447,68,1.05,PROD-2023374798
149,337,5,3,649,7,1.08,PROD-2024923450
150,405,10,6,2579,72,2.79,PROD-2023886647
151,10,11,6,6340,74,1.17,PROD-2025627048
152,536,4,2,4325,84,1.94,PROD-2025977305
153,293,13,5,5750,169,2.94,PROD-2025300957
154,9,9,5,5373,83,1.54,PROD-2024936652
155,283,21,4,8677,207,2.39,PROD-2024745129
156,1095,11,1,7565,224,2.96,PROD-2023542657
157,421,3,5,6229,105,1.69,PROD-2025941140
158,487,1,1,9646,107,1.11,PROD-2023287534
159,573,22,6,729,11,1.51,PROD-2024158560
160,688,5,5,3957,82,2.07,PROD-2025472768
161,777,20,1,7567,191,2.52,PROD-2024106548
162,412,6,4,3146,67,2.13,PROD-2025178055
163,195,1,5,5681,152,2.68,PROD-2023370309
164,1003,2,6,8481,166,1.96,PROD-2023545331
165,435,4,8,2808,28,1.0,PROD-2025535066
166,1063,9,5,8490,130,1.53,PROD-2024557498
167,638,17,2,2079,38,1.83,PROD-2025320197
168,443,11,1,6892,163,2.37,PROD-2025543018
169,385,22,3,1645,46,2.8,PROD-2025775479
170,799,16,2,3154,51,1.62,PROD-2024353553
171,136,12,3,9495,197,2.07,PROD-2023168901
172,106,17,4,6285,166,2.64,PROD-2025517532
173,527,17,7,9838,160,1.63,PROD-2024358132
174,942,5,2,6692,81,1.21,PROD-2025541595
175,37,22,4,8881,180,2.03,PROD-2024243307
176,172,15,3,2053,55,2.68,PROD-2023937448
177,540,7,7,8425,92,1.09,PROD-2025479040
178,978,6,3,3727,109,2.92,PROD-2023189634
179,94,6,8,1228,32,2.61,PROD-2025754904
180,375,16,7,3355,64,1.91,PROD-2025309581
181,1075,17,1,2115,51,2.41,PROD-2023310375
182,1078,3,4,9228,273,2.96,PROD-2025449398
183,94,20,1,9101,206,2.26,PROD-2023192093
184,373,22,2,3815,99,2.6,PROD-2024439087
185,9,15,7,5494,146,2.66,PROD-2024933714
186,810,7,5,290,5,1.72,PROD-2023767583
187,448,8,3,4897,103,2.1,PROD-2024762596
188,601,8,3,9274,273,2.94,PROD-2025796114
189,29,15,5,3620,63,1.74,PROD-2025121684
190,1087,6,8,7537,167,2.22,PROD-2025405842
191,441,19,6,9918,165,1.66,PROD-2024489890
192,382,20,2,1515,23,1.52,PROD-2023493201
193,152,10,1,2865,56,1.95,PROD-2024142147
194,337,6,4,7927,196,2.47,PROD-2024236317
195,346,7,6,686,10,1.46,PROD-2024887611
196,171,19,3,7890,173,2.19,PROD-2024941924
197,207,7,1,9982,187,1.87,PROD-2025127220
198,459,4,3,2831,69,2.44,PROD-2024493668
199,110,13,7,3451,94,2.72,PROD-2024891127
200,1080,17,2,7554,114,1.51,PROD-2024988538
201,450,12,3,3162,36,1.14,PROD-2025397933
202,1019,22,7,8477,200,2.36,PROD-2025943106
203,26,5,3,2874,43,1.5,PROD-2025292070
204,891,22,1,7076,196,2.77,PROD-2025841070
205,210,20,6,8023,84,1.05,PROD-2023145423
206,885,7,6,5362,149,2.78,PROD-2024297676
207,756,1,6,6796,135,1.99,PROD-2025780012
208,759,6,6,5668,136,2.4,PROD-2023554938
209,893,20,2,1058,31,2.93,PROD-2024229199
210,950,21,6,1861,41,2.2,PROD-2025610605
211,735,22,7,5444,60,1.1,PROD-2025327422
212,670,5,4,9450,203,2.15,PROD-2023162979
213,342,14,2,8254,111,1.34,PROD-2025808350
214,371,7,7,9260,158,1.71,PROD-2024364772
215,786,19,5,6007,138,2.3,PROD-2025358627
216,1024,9,5,5583,120,2.15,PROD-2024562351
217,203,6,5,1018,17,1.67,PROD-2023944769
218,345,5,2,4066,63,1.55,PROD-2024593464
219,355,19,5,1606,45,2.8,PROD-2025859747
220,756,7,6,6334,66,1.04,PROD-2024874081
221,343,13,7,8991,147,1.63,PROD-2025837357
222,597,9,5,6322,118,1.87,PROD-2024800771
223,742,9,8,2498,25,1.0,PROD-2024446712
224,516,8,7,4301,70,1.63,PROD-2025581931
225,1070,18,6,1840,24,1.3,PROD-2023459991
226,510,14,2,4102,68,1.66,PROD-2025226433
227,660,8,7,9217,141,1.53,PROD-2025950960
228,772,3,7,9327,278,2.98,PROD-2025605628
229,600,8,1,2909,76,2.61,PROD-2025297138
230,61,13,7,8936,101,1.13,PROD-2025150817
231,727,21,2,1512,32,2.12,PROD-2025508984
232,377,4,8,3477,85,2.44,PROD-2025830589
233,308,18,7,2853,60,2.1,PROD-2023417008
