shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
1,861,826,2,8,9,185,Maersk,Delivered,554.32,25.82,MAE4829213397,
2,733,124,2,3,5,412,FedEx,Delivered,2602.88,93.83,FDX9024994274,
3,927,127,19,1,59,207,FedEx,Delivered,706.1,89.92,FDX6983971149,
4,590,908,11,8,40,334,FedEx,In Transit,2102.96,114.19,FDX7130375697,
5,29,267,16,3,19,209,FedEx,In Transit,723.24,100.28,FDX5517630974,
6,120,785,9,7,62,317,UPS,Delivered,1499.29,36.2,UPS1Z6157416033,
7,978,866,7,1,75,320,BlueDart,Delivered,2059.32,49.18,BD9113718277,
8,716,481,13,1,70,90,UPS,Out for Delivery,226.78,23.21,UPS1Z6135913874,
9,874,925,10,6,7,404,Maersk,Delivered,1895.36,195.67,MAE1236317103,
10,67,70,22,6,56,320,DHL,Delivered,2470.51,144.36,DHL5911687636,
11,352,958,22,4,15,452,Maersk,Exception,2390.83,196.88,MAE2272432023,Port Congestion
12,355,192,2,5,48,405,DHL,In Transit,1689.48,155.27,DHL2069248967,
13,180,784,13,7,72,423,FedEx,Delayed,1562.74,164.1,FDX8590162998,Port Congestion
14,94,692,9,2,33,391,Maersk,Delivered,1489.38,145.33,MAE1639407587,
15,1017,1001,16,8,46,423,DHL,Delivered,3229.02,70.76,DHL3728456449,
16,17,462,19,8,52,460,FedEx,Returned,2685.97,161.85,FDX6276710250,Weather Delay
17,114,831,10,1,2,305,BlueDart,Delivered,803.24,53.58,BD7747066131,
18,217,1017,4,4,14,158,DHL,Delayed,1261.68,47.71,DHL4405327698,Logistics Issue
19,625,745,6,5,5,67,DHL,Delayed,490.48,23.23,DHL1477976398,Customs Clearance
20,883,610,4,2,50,367,DHL,Delivered,825.78,69.4,DHL6636546487,
21,423,409,18,8,8,210,BlueDart,Delivered,567.91,51.73,BD3223587969,
22,622,924,8,6,40,264,BlueDart,Pending Pickup,1837.81,88.76,BD4393713960,
23,752,382,9,6,47,399,Maersk,Exception,1916.98,42.37,MAE6084929892,Incorrect Address
24,802,46,9,8,11,187,UPS,Delivered,1403.46,32.17,UPS1Z4653020795,
25,738,330,8,4,2,88,Maersk,In Transit,338.61,13.08,MAE5952723649,
26,421,677,13,4,8,322,UPS,Delivered,1789.11,129.24,UPS1Z4059842604,
27,512,81,4,1,71,22,DHL,Out for Delivery,106.13,2.46,DHL6172567083,
28,434,149,22,8,38,345,FedEx,Delivered,1237.54,127.97,FDX3540782096,
29,705,515,8,4,39,163,FedEx,Delivered,816.97,22.89,FDX7593721098,
30,372,38,2,4,22,336,Maersk,Delayed,2237.77,44.29,MAE7882995688,Logistics Issue
31,18,111,14,7,31,99,DHL,In Transit,534.6,42.84,DHL3110659751,
32,426,946,16,2,14,227,BlueDart,In Transit,1254.68,87.54,BD4019637283,
33,237,406,16,1,35,396,UPS,Delivered,1895.23,167.04,UPS1Z2939922981,
34,989,605,13,6,36,198,DHL,In Transit,1167.68,67.04,DHL9030021193,
35,218,317,4,2,22,138,FedEx,Delivered,1013.44,64.92,FDX5452477688,
36,241,940,15,7,65,346,FedEx,Delivered,2481.67,160.36,FDX3881950337,
37,457,973,16,3,6,49,UPS,Delivered,259.89,14.79,UPS1Z1331307506,
38,466,235,11,1,79,45,UPS,Delivered,275.61,9.68,UPS1Z5902411251,
39,404,978,8,5,70,74,DHL,Delivered,444.75,23.55,DHL3447538612,
40,244,912,10,3,66,20,FedEx,Out for Delivery,146.8,4.79,FDX3677186079,
41,154,334,18,1,17,125,UPS,Delayed,330.79,53.05,UPS1Z5623347917,Port Congestion
42,161,977,10,2,4,59,BlueDart,In Transit,342.72,14.19,BD1948070437,
43,915,269,11,7,1,118,FedEx,In Transit,525.18,28.61,FDX6668152681,
44,911,395,5,7,51,456,FedEx,Delivered,1649.51,120.71,FDX1643955645,
45,314,558,22,6,5,490,DHL,Delivered,1917.36,96.88,DHL1068030202,
46,419,274,11,4,62,62,FedEx,Returned,251.74,14.1,FDX8650243375,Weather Delay
47,33,818,4,6,76,126,UPS,Delivered,274.29,59.29,UPS1Z5174008547,
48,455,216,22,6,79,95,BlueDart,Out for Delivery,642.7,26.44,BD9824243355,
49,28,657,19,8,45,445,UPS,Delayed,2811.98,128.15,UPS1Z9433807192,Port Congestion
50,902,933,20,8,30,376,FedEx,Delivered,895,121.41,FDX8463149376,
